text	question	A	B	C	D	E	answer	reason
Una población de tortugas gigantes en peligro de extinción, que alguna vez se redujo a poco más de una docena de ejemplares, se ha recuperado en la isla Española del archipiélago de Galápagos. El hallazgo es descrito como «una verdadera historia de éxito y esperanza en la conservación» según el autor principal de un estudio publicado el 28 de octubre. A unos 40 años de que las primeras tortugas criadas en cautiverio fueran reintroducidas en la isla por la dirección del Parque Nacional Galápagos, las tortugas gigantes endémicas de Española se están reproduciendo, restaurando así parte de los daños ecológicos provocados por las cabras salvajes que fueron traídas a la isla a fines del siglo XIX y que devoraron toda la vegetación. «La población mundial se había reducido a solamente 15 tortugas en la década de 1960. Ahora, hay unas 1,000 de ellas que se reproducen por sí mismas. La población es fuerte. Es un raro ejemplo de cómo los biólogos y los administradores pueden colaborar para recuperar una especie en peligro de extinción», comentó James P. Gibbs, profesor de biología para la conservación de vertebrados en el Colegio de Ciencias Ambientales y Forestales de la Universidad del Estado de Nueva York, y autor principal del artículo publicado en la revista PLoS ONE. La recuperación de las tortugas gigantes es una historia de éxito con otra cara: aunque la población es constante, es poco probable que crezca en tanto el paisaje no consiga una mayor recuperación de los daños causados por las cabras ya erradicadas. «La restauración de la población es una cosa, pero la recuperación ecológica va a tomar mucho más tiempo», advirtió Gibbs. «Es un éxito de la conservación atribuible a la Dirección del Parque Nacional Galápagos; pero todavía falta mucho por hacer por la total recuperación del ecosistema, del cual dependen las tortugas y otras especies raras», reconoció el biólogo.	Se desprende del texto que el daño ecológico en la isla Española	es estrictamente irrecuperable.	fue causado por un factor exógeno.	se debió a las tortugas gigantes.	es obra exclusiva de los biólogos.	afecta solo a las tortugas gigantes.	B	El daño ecológico en la isla Española se debió a la introducción de cabras salvajes en el siglo XIX.
Una población de tortugas gigantes en peligro de extinción, que alguna vez se redujo a poco más de una docena de ejemplares, se ha recuperado en la isla Española del archipiélago de Galápagos. El hallazgo es descrito como «una verdadera historia de éxito y esperanza en la conservación» según el autor principal de un estudio publicado el 28 de octubre. A unos 40 años de que las primeras tortugas criadas en cautiverio fueran reintroducidas en la isla por la dirección del Parque Nacional Galápagos, las tortugas gigantes endémicas de Española se están reproduciendo, restaurando así parte de los daños ecológicos provocados por las cabras salvajes que fueron traídas a la isla a fines del siglo XIX y que devoraron toda la vegetación. «La población mundial se había reducido a solamente 15 tortugas en la década de 1960. Ahora, hay unas 1,000 de ellas que se reproducen por sí mismas. La población es fuerte. Es un raro ejemplo de cómo los biólogos y los administradores pueden colaborar para recuperar una especie en peligro de extinción», comentó James P. Gibbs, profesor de biología para la conservación de vertebrados en el Colegio de Ciencias Ambientales y Forestales de la Universidad del Estado de Nueva York, y autor principal del artículo publicado en la revista PLoS ONE. La recuperación de las tortugas gigantes es una historia de éxito con otra cara: aunque la población es constante, es poco probable que crezca en tanto el paisaje no consiga una mayor recuperación de los daños causados por las cabras ya erradicadas. «La restauración de la población es una cosa, pero la recuperación ecológica va a tomar mucho más tiempo», advirtió Gibbs. «Es un éxito de la conservación atribuible a la Dirección del Parque Nacional Galápagos; pero todavía falta mucho por hacer por la total recuperación del ecosistema, del cual dependen las tortugas y otras especies raras», reconoció el biólogo.	Si las tortugas gigantes de la isla Española no dependieran exclusivamente de la vegetación, entonces, es posible que habrían	convivido con las cabras salvajes un buen tiempo.	luchado por la subsistencia con las cabras salvajes.	migrado a otras islas del archipiélago Galápagos.	comenzado a alimentarse de la carne de las cabras.	desaparecido a causa del cambio climático mundial.	A	Dado que las cabras salvajes consumieron toda la vegetación de la isla Española, las tortugas empezaron a extinguirse porque seguramente dependían de aquella vegetación. En caso de que las tortugas gigantes no dependieran de la vegetación, es seguro que tortugas y cabras habrían convivido sin problemas por un buen tiempo.
En el informe «Cambio climático 2014. Impacto, adaptación y vulnerabilidad» se señala que la naturaleza de los riesgos del cambio está cada vez más clara, aunque seguirán produciéndose sorpresas. El cambio climático ya está teniendo consecuencias para la agricultura, la salud humana, los ecosistemas y los océanos, el abastecimiento de agua y los medios de vida de algunas personas. El informe indica que las personas, las industrias y los ecosistemas de todo el mundo son sensibles al calentamiento global. Algunos de los rasgos más alarmantes del impacto son el deshielo de los polos, las inundaciones de algunas islas pequeñas y la vulnerabilidad de las ciudades del litoral. Chris Field, de la Carnegie Institution for Science, que también preside este grupo de trabajo, manifestó por su parte que la adaptación al cambio climático «no es un programa exótico que no se haya intentado nunca» y aseguró que gobiernos, empresas y comunidades en todo el mundo están adquiriendo experiencias en ello. «Esas experiencias constituyen el punto de partida para lograr adaptaciones más audaces y ambiciosas, que serán importantes a medida que continúen cambiando el clima y la sociedad», agregó Field. También manifestó que, con niveles elevados de calentamiento a causa del continuo aumento de las emisiones de gas de efecto invernadero «será difícil controlar los riesgos y aunque se invierta de manera significativa y continuada en la adaptación, nos encontraremos con limitaciones». Este experto destacó que en el informe se llega a la conclusión de que las personas, las sociedades y los ecosistemas «son vulnerables en todo el mundo, pero la vulnerabilidad es diferente en los distintos lugares. Con frecuencia el cambio climático interactúa con otras tensiones y así aumenta el riesgo». El informe ha sido elaborado en base a las aportaciones de 309 autores de 70 países, que contaron además con la colaboración de más de 400 expertos, y un total de 1729 revisores científicos y gubernamentales hicieron observaciones sobre los borradores.	El tema central del texto es	las adaptaciones que las personas deben autogenerarse para detener el cambio climático.	el calentamiento global como causa sine qua non del deterioro climático y medioambiental terrestre.	la vulnerabilidad de los ecosistemas frente al cambio climático que afecta a nuestro planeta.	el informe sobre el cambio climático y la colaboración conjunta de más de 400 expertos en el tema.	el cambio climático, sus sorpresivos y nocivos efectos en el marco de un informe sobre este fenómeno.	E	El tema central del texto es el cambio climático y su naturaleza en el marco de un informe elaborado por científicos de todo el mundo.
En el informe «Cambio climático 2014. Impacto, adaptación y vulnerabilidad» se señala que la naturaleza de los riesgos del cambio está cada vez más clara, aunque seguirán produciéndose sorpresas. El cambio climático ya está teniendo consecuencias para la agricultura, la salud humana, los ecosistemas y los océanos, el abastecimiento de agua y los medios de vida de algunas personas. El informe indica que las personas, las industrias y los ecosistemas de todo el mundo son sensibles al calentamiento global. Algunos de los rasgos más alarmantes del impacto son el deshielo de los polos, las inundaciones de algunas islas pequeñas y la vulnerabilidad de las ciudades del litoral. Chris Field, de la Carnegie Institution for Science, que también preside este grupo de trabajo, manifestó por su parte que la adaptación al cambio climático «no es un programa exótico que no se haya intentado nunca» y aseguró que gobiernos, empresas y comunidades en todo el mundo están adquiriendo experiencias en ello. «Esas experiencias constituyen el punto de partida para lograr adaptaciones más audaces y ambiciosas, que serán importantes a medida que continúen cambiando el clima y la sociedad», agregó Field. También manifestó que, con niveles elevados de calentamiento a causa del continuo aumento de las emisiones de gas de efecto invernadero «será difícil controlar los riesgos y aunque se invierta de manera significativa y continuada en la adaptación, nos encontraremos con limitaciones». Este experto destacó que en el informe se llega a la conclusión de que las personas, las sociedades y los ecosistemas «son vulnerables en todo el mundo, pero la vulnerabilidad es diferente en los distintos lugares. Con frecuencia el cambio climático interactúa con otras tensiones y así aumenta el riesgo». El informe ha sido elaborado en base a las aportaciones de 309 autores de 70 países, que contaron además con la colaboración de más de 400 expertos, y un total de 1729 revisores científicos y gubernamentales hicieron observaciones sobre los borradores.	En el texto, la palabra SENSIBLE se puede reemplazar por	delicado.	vulnerable.	etéreo.	manifiesto.	deleznable.	B	El término está referido a lo que está en serio riesgo de padecer las inclemencias del cambio climático; esto es, son vulnerables.
En el informe «Cambio climático 2014. Impacto, adaptación y vulnerabilidad» se señala que la naturaleza de los riesgos del cambio está cada vez más clara, aunque seguirán produciéndose sorpresas. El cambio climático ya está teniendo consecuencias para la agricultura, la salud humana, los ecosistemas y los océanos, el abastecimiento de agua y los medios de vida de algunas personas. El informe indica que las personas, las industrias y los ecosistemas de todo el mundo son sensibles al calentamiento global. Algunos de los rasgos más alarmantes del impacto son el deshielo de los polos, las inundaciones de algunas islas pequeñas y la vulnerabilidad de las ciudades del litoral. Chris Field, de la Carnegie Institution for Science, que también preside este grupo de trabajo, manifestó por su parte que la adaptación al cambio climático «no es un programa exótico que no se haya intentado nunca» y aseguró que gobiernos, empresas y comunidades en todo el mundo están adquiriendo experiencias en ello. «Esas experiencias constituyen el punto de partida para lograr adaptaciones más audaces y ambiciosas, que serán importantes a medida que continúen cambiando el clima y la sociedad», agregó Field. También manifestó que, con niveles elevados de calentamiento a causa del continuo aumento de las emisiones de gas de efecto invernadero «será difícil controlar los riesgos y aunque se invierta de manera significativa y continuada en la adaptación, nos encontraremos con limitaciones». Este experto destacó que en el informe se llega a la conclusión de que las personas, las sociedades y los ecosistemas «son vulnerables en todo el mundo, pero la vulnerabilidad es diferente en los distintos lugares. Con frecuencia el cambio climático interactúa con otras tensiones y así aumenta el riesgo». El informe ha sido elaborado en base a las aportaciones de 309 autores de 70 países, que contaron además con la colaboración de más de 400 expertos, y un total de 1729 revisores científicos y gubernamentales hicieron observaciones sobre los borradores.	Resulta incompatible con el desarrollo textual que los riesgos del cambio climático	involucran a la agricultura y las personas.	han sido clarificados por diversos expertos.	son ajenos a variables de otra naturaleza.	involucran a sociedades y ecosistemas.	están definidos en el marco de un informe.	C	Los riesgos son variados y dependen de otras tensiones. En tal sentido, es incompatible asumir que el cambio no obedece a variables de distinta índole.
En el informe «Cambio climático 2014. Impacto, adaptación y vulnerabilidad» se señala que la naturaleza de los riesgos del cambio está cada vez más clara, aunque seguirán produciéndose sorpresas. El cambio climático ya está teniendo consecuencias para la agricultura, la salud humana, los ecosistemas y los océanos, el abastecimiento de agua y los medios de vida de algunas personas. El informe indica que las personas, las industrias y los ecosistemas de todo el mundo son sensibles al calentamiento global. Algunos de los rasgos más alarmantes del impacto son el deshielo de los polos, las inundaciones de algunas islas pequeñas y la vulnerabilidad de las ciudades del litoral. Chris Field, de la Carnegie Institution for Science, que también preside este grupo de trabajo, manifestó por su parte que la adaptación al cambio climático «no es un programa exótico que no se haya intentado nunca» y aseguró que gobiernos, empresas y comunidades en todo el mundo están adquiriendo experiencias en ello. «Esas experiencias constituyen el punto de partida para lograr adaptaciones más audaces y ambiciosas, que serán importantes a medida que continúen cambiando el clima y la sociedad», agregó Field. También manifestó que, con niveles elevados de calentamiento a causa del continuo aumento de las emisiones de gas de efecto invernadero «será difícil controlar los riesgos y aunque se invierta de manera significativa y continuada en la adaptación, nos encontraremos con limitaciones». Este experto destacó que en el informe se llega a la conclusión de que las personas, las sociedades y los ecosistemas «son vulnerables en todo el mundo, pero la vulnerabilidad es diferente en los distintos lugares. Con frecuencia el cambio climático interactúa con otras tensiones y así aumenta el riesgo». El informe ha sido elaborado en base a las aportaciones de 309 autores de 70 países, que contaron además con la colaboración de más de 400 expertos, y un total de 1729 revisores científicos y gubernamentales hicieron observaciones sobre los borradores.	Se deduce del desarrollo textual que los efectos del cambio climático	han afectado únicamente a las industrias.	determinaron la desaparición de los polos.	se proyectarán dentro de muchos años.	carecen de una predictibilidad completa.	son una gran incógnita para la ciencia.	D	Los efectos del cambio climático pueden resultar sorpresivos tanto como su naturaleza, además, hay variables involucradas; por consiguiente, no son completamente predecibles.
En el informe «Cambio climático 2014. Impacto, adaptación y vulnerabilidad» se señala que la naturaleza de los riesgos del cambio está cada vez más clara, aunque seguirán produciéndose sorpresas. El cambio climático ya está teniendo consecuencias para la agricultura, la salud humana, los ecosistemas y los océanos, el abastecimiento de agua y los medios de vida de algunas personas. El informe indica que las personas, las industrias y los ecosistemas de todo el mundo son sensibles al calentamiento global. Algunos de los rasgos más alarmantes del impacto son el deshielo de los polos, las inundaciones de algunas islas pequeñas y la vulnerabilidad de las ciudades del litoral. Chris Field, de la Carnegie Institution for Science, que también preside este grupo de trabajo, manifestó por su parte que la adaptación al cambio climático «no es un programa exótico que no se haya intentado nunca» y aseguró que gobiernos, empresas y comunidades en todo el mundo están adquiriendo experiencias en ello. «Esas experiencias constituyen el punto de partida para lograr adaptaciones más audaces y ambiciosas, que serán importantes a medida que continúen cambiando el clima y la sociedad», agregó Field. También manifestó que, con niveles elevados de calentamiento a causa del continuo aumento de las emisiones de gas de efecto invernadero «será difícil controlar los riesgos y aunque se invierta de manera significativa y continuada en la adaptación, nos encontraremos con limitaciones». Este experto destacó que en el informe se llega a la conclusión de que las personas, las sociedades y los ecosistemas «son vulnerables en todo el mundo, pero la vulnerabilidad es diferente en los distintos lugares. Con frecuencia el cambio climático interactúa con otras tensiones y así aumenta el riesgo». El informe ha sido elaborado en base a las aportaciones de 309 autores de 70 países, que contaron además con la colaboración de más de 400 expertos, y un total de 1729 revisores científicos y gubernamentales hicieron observaciones sobre los borradores.	Si los científicos carecieran de capacidad para determinar los graves efectos del cambio climático, sería posible que	sea implausible la elaboración de un informe sobre este fenómeno.	los polos y los ecosistemas del planeta se mantengan incólumes.	estos tengan que usar técnicas de medición más precisas y sutiles.	la agricultura se vea afectada de forma mínimamente considerable.	los revisores científicos dejen de indagar sobre el calentamiento.	A	Si los expertos carecieran de capacidad prospectiva para definir los efectos perniciosos del cambio climático, la constitución de un informe sobre tal fenómeno sería poco realista.
Es la temporada de lechugas en el valle de Salinas, una depresión en la región central de California que produce alrededor del 70% de las hortalizas de hoja verde que se venden en Estados Unidos. Por la mañana, tráilers cargados hasta los topes parten de las plantas de procesado del valle, rumbo al norte, el sur y el este. Mientras, un camión portacontenedor llega a la Estación de Transferencia de Sun Street, no lejos del centro urbano de Salinas. El conductor se detiene sobre una báscula y luego coloca el contenedor sobre una plataforma de hormigón. Un movimiento de palanca, un zumbido neumático, y 15 metros cúbicos de lechugas y espinacas caen y forman una pila de dos metros de alto. Envasadas en cajas y bolsas de plástico, las hortalizas parecen inmaculadas, pero varios delitos las han condenado a acabar en el vertedero: sus envases no contienen lo que deberían, o están mal etiquetados, o no han sido correctamente sellados, o están rasgados. Cualquiera diría que desperdiciar tal montón de comida es un pecado, incluso un crimen, pero la cosa no ha hecho más que empezar. A lo largo del día, la planta de transferencia recibirá entre 10 y 20 cargamentos más de hortalizas perfectamente comestibles, procedentes de las empresas productoras-envasadoras de la zona. Entre los meses de abril y noviembre, el departamento encargado de la gestión de los residuos sólidos del valle de Salinas envía al vertedero entre dos y cuatro toneladas de verduras recién recogidas. Y esta es solo una de las muchas plantas de transferencia de residuos que hay en los valles de California. La Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO), que lleva la cuenta de lo que se produce y consume en el planeta, calcula que cada año una tercera parte de la producción mundial de alimentos para consumo humano se pierde o desperdicia en la cadena que se inicia en las explotaciones agropecuarias, pasa por las plantas de procesado, los mercados al por mayor y los comercios minoristas, y llega a los negocios de restauración y a la cocina de nuestros hogares. Todo esto significa 1.300 millones de toneladas anuales, suficientes para alimentar a 3.000 millones de personas. El desperdicio alimentario se produce en distintos lugares y por distintos motivos. En general, los países industrializados pierden más comida en las fases de comercialización y consumo, mientras que en las naciones en vías de desarrollo, que con frecuencia carecen de la logística necesaria para hacer llegar todo el alimento en buen estado a los consumidores, la mayor parte de las pérdidas tiene lugar en las fases de producción, postcosecha y procesado. Se desperdician calorías en los restaurantes que sirven raciones desproporcionadas u opíparos bufés, cuyos empleados tiran todo a la basura en cuanto llega la hora de cerrar, aunque no haya estado ni cinco minutos en el mostrador. Los comercios de alimentación estadounidenses dejan de vender 19 millones de toneladas de comida al año, aunque hacen lo posible para que no se sepa. Los encargados adquieren más mercancía de la necesaria, por miedo a quedarse sin existencias de algún producto. Estantes enteros de guisantes en perfecto estado terminan en el contenedor para hacer sitio a nuevas remesas de guisantes idénticos. La cadena británica de supermercados Tesco reconoció haber desechado más de 50.000 toneladas de comida en sus establecimientos del Reino Unido durante el último año fiscal. Tener comida de sobra podría parecer un problema maravilloso propio del Primer Mundo, pero colmar las cornucopias de una superabundancia que desde el principio se sabe está destinada al vertedero es algo que el mundo no puede soportar más. Es demasiado caro y está destruyendo el planeta mientras millones de personas pasan hambre. «El desperdicio de comida es un problema ridículo –reconoce Nick Nuttall, del Programa de Naciones Unidas para el Medio Ambiente–, pero todo el mundo adora los problemas ridículos porque saben que pueden hacer algo al respecto.»	En el texto, OPÍPARO tiene el significado de	astringente.	craso.	suculento.	abundante.	variado.	D	En el texto se habla del desperdicio de grandes cantidades de alimentos, por lo que en ese contexto OPÍPARO alude a la gran cantidad de comida.
Es la temporada de lechugas en el valle de Salinas, una depresión en la región central de California que produce alrededor del 70% de las hortalizas de hoja verde que se venden en Estados Unidos. Por la mañana, tráilers cargados hasta los topes parten de las plantas de procesado del valle, rumbo al norte, el sur y el este. Mientras, un camión portacontenedor llega a la Estación de Transferencia de Sun Street, no lejos del centro urbano de Salinas. El conductor se detiene sobre una báscula y luego coloca el contenedor sobre una plataforma de hormigón. Un movimiento de palanca, un zumbido neumático, y 15 metros cúbicos de lechugas y espinacas caen y forman una pila de dos metros de alto. Envasadas en cajas y bolsas de plástico, las hortalizas parecen inmaculadas, pero varios delitos las han condenado a acabar en el vertedero: sus envases no contienen lo que deberían, o están mal etiquetados, o no han sido correctamente sellados, o están rasgados. Cualquiera diría que desperdiciar tal montón de comida es un pecado, incluso un crimen, pero la cosa no ha hecho más que empezar. A lo largo del día, la planta de transferencia recibirá entre 10 y 20 cargamentos más de hortalizas perfectamente comestibles, procedentes de las empresas productoras-envasadoras de la zona. Entre los meses de abril y noviembre, el departamento encargado de la gestión de los residuos sólidos del valle de Salinas envía al vertedero entre dos y cuatro toneladas de verduras recién recogidas. Y esta es solo una de las muchas plantas de transferencia de residuos que hay en los valles de California. La Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO), que lleva la cuenta de lo que se produce y consume en el planeta, calcula que cada año una tercera parte de la producción mundial de alimentos para consumo humano se pierde o desperdicia en la cadena que se inicia en las explotaciones agropecuarias, pasa por las plantas de procesado, los mercados al por mayor y los comercios minoristas, y llega a los negocios de restauración y a la cocina de nuestros hogares. Todo esto significa 1.300 millones de toneladas anuales, suficientes para alimentar a 3.000 millones de personas. El desperdicio alimentario se produce en distintos lugares y por distintos motivos. En general, los países industrializados pierden más comida en las fases de comercialización y consumo, mientras que en las naciones en vías de desarrollo, que con frecuencia carecen de la logística necesaria para hacer llegar todo el alimento en buen estado a los consumidores, la mayor parte de las pérdidas tiene lugar en las fases de producción, postcosecha y procesado. Se desperdician calorías en los restaurantes que sirven raciones desproporcionadas u opíparos bufés, cuyos empleados tiran todo a la basura en cuanto llega la hora de cerrar, aunque no haya estado ni cinco minutos en el mostrador. Los comercios de alimentación estadounidenses dejan de vender 19 millones de toneladas de comida al año, aunque hacen lo posible para que no se sepa. Los encargados adquieren más mercancía de la necesaria, por miedo a quedarse sin existencias de algún producto. Estantes enteros de guisantes en perfecto estado terminan en el contenedor para hacer sitio a nuevas remesas de guisantes idénticos. La cadena británica de supermercados Tesco reconoció haber desechado más de 50.000 toneladas de comida en sus establecimientos del Reino Unido durante el último año fiscal. Tener comida de sobra podría parecer un problema maravilloso propio del Primer Mundo, pero colmar las cornucopias de una superabundancia que desde el principio se sabe está destinada al vertedero es algo que el mundo no puede soportar más. Es demasiado caro y está destruyendo el planeta mientras millones de personas pasan hambre. «El desperdicio de comida es un problema ridículo –reconoce Nick Nuttall, del Programa de Naciones Unidas para el Medio Ambiente–, pero todo el mundo adora los problemas ridículos porque saben que pueden hacer algo al respecto.»	El tema sobre el cual gira el texto es	el desperdicio de vegetales que, a pesar de estar en perfecto estado, presentan algún defecto en su empaquetado.	el peligro ecológico que representa para el planeta el consumo irracional de los alimentos en el primer mundo.	el grotesco desperdicio de comida que se da tanto en los países industrializados como en los países en vías de desarrollo.	las malas prácticas comerciales que, como en el caso de la británica Tesco, conllevan el desperdicio de alimentos.	el envío al vertedero de entre 2 y 4 toneladas de verduras recién recogidas en el valle de Salinas (California).	C	En el texto se menciona en diferentes momentos diversos aspectos relativos al desperdicio de comida en el mundo.
Es la temporada de lechugas en el valle de Salinas, una depresión en la región central de California que produce alrededor del 70% de las hortalizas de hoja verde que se venden en Estados Unidos. Por la mañana, tráilers cargados hasta los topes parten de las plantas de procesado del valle, rumbo al norte, el sur y el este. Mientras, un camión portacontenedor llega a la Estación de Transferencia de Sun Street, no lejos del centro urbano de Salinas. El conductor se detiene sobre una báscula y luego coloca el contenedor sobre una plataforma de hormigón. Un movimiento de palanca, un zumbido neumático, y 15 metros cúbicos de lechugas y espinacas caen y forman una pila de dos metros de alto. Envasadas en cajas y bolsas de plástico, las hortalizas parecen inmaculadas, pero varios delitos las han condenado a acabar en el vertedero: sus envases no contienen lo que deberían, o están mal etiquetados, o no han sido correctamente sellados, o están rasgados. Cualquiera diría que desperdiciar tal montón de comida es un pecado, incluso un crimen, pero la cosa no ha hecho más que empezar. A lo largo del día, la planta de transferencia recibirá entre 10 y 20 cargamentos más de hortalizas perfectamente comestibles, procedentes de las empresas productoras-envasadoras de la zona. Entre los meses de abril y noviembre, el departamento encargado de la gestión de los residuos sólidos del valle de Salinas envía al vertedero entre dos y cuatro toneladas de verduras recién recogidas. Y esta es solo una de las muchas plantas de transferencia de residuos que hay en los valles de California. La Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO), que lleva la cuenta de lo que se produce y consume en el planeta, calcula que cada año una tercera parte de la producción mundial de alimentos para consumo humano se pierde o desperdicia en la cadena que se inicia en las explotaciones agropecuarias, pasa por las plantas de procesado, los mercados al por mayor y los comercios minoristas, y llega a los negocios de restauración y a la cocina de nuestros hogares. Todo esto significa 1.300 millones de toneladas anuales, suficientes para alimentar a 3.000 millones de personas. El desperdicio alimentario se produce en distintos lugares y por distintos motivos. En general, los países industrializados pierden más comida en las fases de comercialización y consumo, mientras que en las naciones en vías de desarrollo, que con frecuencia carecen de la logística necesaria para hacer llegar todo el alimento en buen estado a los consumidores, la mayor parte de las pérdidas tiene lugar en las fases de producción, postcosecha y procesado. Se desperdician calorías en los restaurantes que sirven raciones desproporcionadas u opíparos bufés, cuyos empleados tiran todo a la basura en cuanto llega la hora de cerrar, aunque no haya estado ni cinco minutos en el mostrador. Los comercios de alimentación estadounidenses dejan de vender 19 millones de toneladas de comida al año, aunque hacen lo posible para que no se sepa. Los encargados adquieren más mercancía de la necesaria, por miedo a quedarse sin existencias de algún producto. Estantes enteros de guisantes en perfecto estado terminan en el contenedor para hacer sitio a nuevas remesas de guisantes idénticos. La cadena británica de supermercados Tesco reconoció haber desechado más de 50.000 toneladas de comida en sus establecimientos del Reino Unido durante el último año fiscal. Tener comida de sobra podría parecer un problema maravilloso propio del Primer Mundo, pero colmar las cornucopias de una superabundancia que desde el principio se sabe está destinada al vertedero es algo que el mundo no puede soportar más. Es demasiado caro y está destruyendo el planeta mientras millones de personas pasan hambre. «El desperdicio de comida es un problema ridículo –reconoce Nick Nuttall, del Programa de Naciones Unidas para el Medio Ambiente–, pero todo el mundo adora los problemas ridículos porque saben que pueden hacer algo al respecto.»	Es incompatible con relación al texto afirmar que	el estado del empaque a veces impide la comercialización de determinados alimentos.	la incertidumbre sobre la disponibilidad de ciertos alimentos contribuye al exceso en su oferta.	los países industrializados pierden mayor porcentaje de alimentos en las últimas fases del proceso.	la forma en que está organizada la producción de alimentos en el mundo pone en peligro el planeta.	el desperdicio de comida no es previsto por los agentes que comercian con los alimentos.	E	Según el texto, los encargados de los negocios conscientemente piden un porcentaje de alimentos mayor que el necesario como medida de precaución, y negocios como Tesco pierden miles de toneladas de alimentos al año.
Es la temporada de lechugas en el valle de Salinas, una depresión en la región central de California que produce alrededor del 70% de las hortalizas de hoja verde que se venden en Estados Unidos. Por la mañana, tráilers cargados hasta los topes parten de las plantas de procesado del valle, rumbo al norte, el sur y el este. Mientras, un camión portacontenedor llega a la Estación de Transferencia de Sun Street, no lejos del centro urbano de Salinas. El conductor se detiene sobre una báscula y luego coloca el contenedor sobre una plataforma de hormigón. Un movimiento de palanca, un zumbido neumático, y 15 metros cúbicos de lechugas y espinacas caen y forman una pila de dos metros de alto. Envasadas en cajas y bolsas de plástico, las hortalizas parecen inmaculadas, pero varios delitos las han condenado a acabar en el vertedero: sus envases no contienen lo que deberían, o están mal etiquetados, o no han sido correctamente sellados, o están rasgados. Cualquiera diría que desperdiciar tal montón de comida es un pecado, incluso un crimen, pero la cosa no ha hecho más que empezar. A lo largo del día, la planta de transferencia recibirá entre 10 y 20 cargamentos más de hortalizas perfectamente comestibles, procedentes de las empresas productoras-envasadoras de la zona. Entre los meses de abril y noviembre, el departamento encargado de la gestión de los residuos sólidos del valle de Salinas envía al vertedero entre dos y cuatro toneladas de verduras recién recogidas. Y esta es solo una de las muchas plantas de transferencia de residuos que hay en los valles de California. La Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO), que lleva la cuenta de lo que se produce y consume en el planeta, calcula que cada año una tercera parte de la producción mundial de alimentos para consumo humano se pierde o desperdicia en la cadena que se inicia en las explotaciones agropecuarias, pasa por las plantas de procesado, los mercados al por mayor y los comercios minoristas, y llega a los negocios de restauración y a la cocina de nuestros hogares. Todo esto significa 1.300 millones de toneladas anuales, suficientes para alimentar a 3.000 millones de personas. El desperdicio alimentario se produce en distintos lugares y por distintos motivos. En general, los países industrializados pierden más comida en las fases de comercialización y consumo, mientras que en las naciones en vías de desarrollo, que con frecuencia carecen de la logística necesaria para hacer llegar todo el alimento en buen estado a los consumidores, la mayor parte de las pérdidas tiene lugar en las fases de producción, postcosecha y procesado. Se desperdician calorías en los restaurantes que sirven raciones desproporcionadas u opíparos bufés, cuyos empleados tiran todo a la basura en cuanto llega la hora de cerrar, aunque no haya estado ni cinco minutos en el mostrador. Los comercios de alimentación estadounidenses dejan de vender 19 millones de toneladas de comida al año, aunque hacen lo posible para que no se sepa. Los encargados adquieren más mercancía de la necesaria, por miedo a quedarse sin existencias de algún producto. Estantes enteros de guisantes en perfecto estado terminan en el contenedor para hacer sitio a nuevas remesas de guisantes idénticos. La cadena británica de supermercados Tesco reconoció haber desechado más de 50.000 toneladas de comida en sus establecimientos del Reino Unido durante el último año fiscal. Tener comida de sobra podría parecer un problema maravilloso propio del Primer Mundo, pero colmar las cornucopias de una superabundancia que desde el principio se sabe está destinada al vertedero es algo que el mundo no puede soportar más. Es demasiado caro y está destruyendo el planeta mientras millones de personas pasan hambre. «El desperdicio de comida es un problema ridículo –reconoce Nick Nuttall, del Programa de Naciones Unidas para el Medio Ambiente–, pero todo el mundo adora los problemas ridículos porque saben que pueden hacer algo al respecto.»	Se colige del texto que la situación de la alimentación en el mundo presenta un carácter	paradójico.	equitativo.	apodíctico.	terminal.	disuasorio.	A	En el mundo, se producen más alimentos de los que se consumen; sin embargo, miles de millones de personas pasan hambre, pues no tienen qué comer.
